,college,dateOfBirth,firstName,height,highSchool,hometown,instagramHandle,lastName,playerId,position,team,twitterHandle,weight,stats
000209,University of North Carolina,1994-04-07T00:00:00.000Z,Evan,6’0,Calvert Hall College,"Lutherville, MD",connell919,Connell,000209,Defense,Archers,evanconnell919,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000209', 'TeamId': 'ARC', 'Jersey': '99', 'FirstName': 'Evan', 'LastName': 'Connell', 'Position': 'D', 'GamesPlayed': '3', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '2', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000210,Maryland,,Goran,6’0,The Haverford School,"Philadelphia, PA",jamrock_g,Murray,000210,Defense,Archers,,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000210', 'TeamId': 'ARC', 'Jersey': '44', 'FirstName': 'Goran', 'LastName': 'Murray', 'Position': 'Defense', 'GamesPlayed': '3', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '2', 'Turnovers': '0', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000211,Vermont,1994-05-31T00:00:00.000Z,Ian,5’10,The Hill Academy,"Port Elgin, Ontario, Canada",ianmackay_94,MacKay,000211,Midfield,Archers,ianmackay_94,215,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000211', 'TeamId': 'ARC', 'Jersey': '94', 'FirstName': 'Ian', 'LastName': 'MacKay', 'Position': 'Midfield', 'GamesPlayed': '4', 'Goals': '2', 'Assists': '1', 'Points': '3', 'TwoPointers': '0', 'Shots': '11', 'ShotsOnGoal': '7', 'ShotPercentage': '18.1', 'GroundBalls': '1', 'Turnovers': '3', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 3, 'TwoPointGoals': 0, 'OnePointShots': 8, 'OnePointGoals': 2, 'OnePointShotPercentage': '25.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000212,Bucknell,1992-05-20T00:00:00.000Z,Jackson,6’0,Episcopal Academy,"Wayne, PA",j_place17,Place,000212,Defense,Archers,,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000212', 'TeamId': 'ARC', 'Jersey': '17', 'FirstName': 'Jackson', 'LastName': 'Place', 'Position': 'D', 'GamesPlayed': '10', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '22', 'Turnovers': '1', 'CauseTurnovers': '12', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000213,RIT,1986-08-21T00:00:00.000Z,Jerry,5’10,Governor Livingston,"Berkeley Heights, NJ",Flowgo37,Ragonese,000213,Faceoff,Redwoods,Flowgo37,195,"[{'timestamp': '7/28/2019 9:39:52 PM', 'playerId': '000213', 'TeamId': 'ARC', 'Jersey': '', 'FirstName': 'Jerry', 'LastName': 'Ragonese', 'Position': 'Faceoff', 'GamesPlayed': '0', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000320,North Carolina,1992-02-07T00:00:00.000Z,Joey,5’5,Penn Charter,"Philadelphia, PA",jsankey11,Sankey,000320,Attack,Archers,jsankey11,160,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000320', 'TeamId': 'ARC', 'Jersey': '34', 'FirstName': 'Joey', 'LastName': 'Sankey', 'Position': 'A', 'GamesPlayed': '5', 'Goals': '4', 'Assists': '5', 'Points': '9', 'TwoPointers': '0', 'Shots': '29', 'ShotsOnGoal': '19', 'ShotPercentage': '13.7', 'GroundBalls': '8', 'Turnovers': '6', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 29, 'OnePointGoals': 4, 'OnePointShotPercentage': '13.7', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000215,Syracuse,1992-10-26T00:00:00.000Z,Kevin,5’9,Skaneateles,"Skaneateles, NY",kevinrice2,Rice,000215,Attack,Archers,kevinrice_2,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000215', 'TeamId': 'ARC', 'Jersey': '22', 'FirstName': 'Kevin', 'LastName': 'Rice', 'Position': 'A', 'GamesPlayed': '6', 'Goals': '3', 'Assists': '4', 'Points': '7', 'TwoPointers': '0', 'Shots': '27', 'ShotsOnGoal': '17', 'ShotPercentage': '11.1', 'GroundBalls': '4', 'Turnovers': '7', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 26, 'OnePointGoals': 3, 'OnePointShotPercentage': '11.5', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000216,University of North Carolina,1991-05-02T00:00:00.000Z,Marcus,5’10,Gilman School,"Baltimore, MD",MarcusHolman1,Holman,000216,Attack,Archers,MarcusHolman1,180,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000216', 'TeamId': 'ARC', 'Jersey': '1', 'FirstName': 'Marcus', 'LastName': 'Holman', 'Position': 'A', 'GamesPlayed': '10', 'Goals': '23', 'Assists': '7', 'Points': '32', 'TwoPointers': '2', 'Shots': '74', 'ShotsOnGoal': '43', 'ShotPercentage': '31.0', 'GroundBalls': '17', 'Turnovers': '19', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 10, 'TwoPointGoals': 2, 'OnePointShots': 64, 'OnePointGoals': 21, 'OnePointShotPercentage': '32.8', 'TwoPointShotPercentage': '20.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000217,University of North Carolina,1992-07-11T00:00:00.000Z,Mark,6’3,St Mary's High School of Annapolis,"West River, MD",McNeills21,McNeill,000217,Midfield,Archers,,215,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000217', 'TeamId': 'ARC', 'Jersey': '21', 'FirstName': 'Mark', 'LastName': 'McNeill', 'Position': 'M', 'GamesPlayed': '9', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '2', 'ShotsOnGoal': '2', 'ShotPercentage': '0.0', 'GroundBalls': '18', 'Turnovers': '3', 'CauseTurnovers': '3', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 2, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000218,University of Pennsylvania,1992-12-30T00:00:00.000Z,Matt,6’4,Glen Ridge High School,"Glen Ridge, NJ",Mattmcman,McMahon,000218,Defense,Archers,Matt_mcmahon_11,225,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000218', 'TeamId': 'ARC', 'Jersey': '11', 'FirstName': 'Matt', 'LastName': 'McMahon', 'Position': 'D', 'GamesPlayed': '10', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '23', 'Turnovers': '3', 'CauseTurnovers': '11', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 3, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000219,Lehigh,1990-11-15T00:00:00.000Z,Michael,6’3,LaSalle College High School,"Jenkintown, PA",noonmcnooingtn,Noone,000219,Defense,Archers,,215,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000219', 'TeamId': 'ARC', 'Jersey': '12', 'FirstName': 'Michael', 'LastName': 'Noone', 'Position': 'Defense', 'GamesPlayed': '1', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '2', 'Turnovers': '0', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000243,Stevenson,1987-07-06T00:00:00.000Z,Mike,6’5,Fallston High School,"Fallston, MD",smiimkoen,Simon,000243,Defense,Archers,thee_tree,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000243', 'TeamId': 'ARC', 'Jersey': '66', 'FirstName': 'Mike', 'LastName': 'Simon', 'Position': 'D', 'GamesPlayed': '7', 'Goals': '1', 'Assists': '0', 'Points': '2', 'TwoPointers': '1', 'Shots': '6', 'ShotsOnGoal': '3', 'ShotPercentage': '16.6', 'GroundBalls': '6', 'Turnovers': '0', 'CauseTurnovers': '3', 'FaceoffsWon': '0', 'Faceoffs': '2', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-2', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 3, 'TwoPointGoals': 1, 'OnePointShots': 3, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '33.3', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000220,UNC Chapel Hill,1986-03-10T00:00:00.000Z,Nick,5’10,MacArthur High School,"Levittown, NY",coach_tintle,Tintle,000220,Midfield,Archers,coachtintle,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000220', 'TeamId': 'ARC', 'Jersey': '88', 'FirstName': 'Nick', 'LastName': 'Tintle', 'Position': 'M', 'GamesPlayed': '3', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '1', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000221,Princeton,1993-09-22T00:00:00.000Z,Ryan,6’2,Abington HS,"Abington, PA",rambler_14,Ambler,000221,Attack,Archers,ryan_ambler,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000221', 'TeamId': 'ARC', 'Jersey': '13', 'FirstName': 'Ryan', 'LastName': 'Ambler', 'Position': 'A', 'GamesPlayed': '9', 'Goals': '3', 'Assists': '7', 'Points': '10', 'TwoPointers': '0', 'Shots': '14', 'ShotsOnGoal': '6', 'ShotPercentage': '21.4', 'GroundBalls': '5', 'Turnovers': '6', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 14, 'OnePointGoals': 3, 'OnePointShotPercentage': '21.4', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000223,Loyola,1991-07-26T00:00:00.000Z,Scott,5’11,Walton High School,"Atlanta, GA",ScottRatliff2,Ratliff,000223,Defense,Archers,SRat2,190,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000223', 'TeamId': 'ARC', 'Jersey': '2', 'FirstName': 'Scott', 'LastName': 'Ratliff', 'Position': 'LSM', 'GamesPlayed': '10', 'Goals': '2', 'Assists': '2', 'Points': '4', 'TwoPointers': '0', 'Shots': '15', 'ShotsOnGoal': '6', 'ShotPercentage': '13.3', 'GroundBalls': '29', 'Turnovers': '8', 'CauseTurnovers': '13', 'FaceoffsWon': '1', 'Faceoffs': '8', 'FaceoffsPercentage': '12.5', 'FaceoffsWon_Lost': '1-7', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 7, 'TwoPointGoals': 0, 'OnePointShots': 8, 'OnePointGoals': 2, 'OnePointShotPercentage': '25.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000222,University of North Carolina,1994-11-21T00:00:00.000Z,Stephen,5’11,Calvert Hall,"Baltimore, MD",bones.kelly24,Kelly,000222,Faceoff,Archers,1Bonesaw24,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000222', 'TeamId': 'ARC', 'Jersey': '10', 'FirstName': 'Stephen', 'LastName': 'Kelly', 'Position': 'FO', 'GamesPlayed': '10', 'Goals': '3', 'Assists': '4', 'Points': '7', 'TwoPointers': '0', 'Shots': '8', 'ShotsOnGoal': '7', 'ShotPercentage': '37.5', 'GroundBalls': '58', 'Turnovers': '5', 'CauseTurnovers': '0', 'FaceoffsWon': '94', 'Faceoffs': '192', 'FaceoffsPercentage': '48.9', 'FaceoffsWon_Lost': '94-98', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 8, 'OnePointGoals': 3, 'OnePointShotPercentage': '37.5', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000224,Stony Brook,1987-12-11T00:00:00.000Z,Steven,6’0,MacArthur,"Levittown, NY",Swaldeck24,Waldeck,000224,Defense,Archers,Swaldeck24,215,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000224', 'TeamId': 'ARC', 'Jersey': '24', 'FirstName': 'Steve', 'LastName': 'Waldeck', 'Position': 'D', 'GamesPlayed': '1', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
